"Date","Equity_heavy","Balanced","Defensive"
2015-01-05,-0.0123298980984216,-0.00373522132035438,0.00154577226516513
2015-01-06,-0.00572342956553948,-0.00018032149195662,0.00328100700735404
2015-01-07,0.00936132341286976,0.00471146983284144,0.00189688024774881
2015-01-08,0.0133672159474735,0.00680064165849089,0.00242941247949781
2015-01-09,-0.00477882982495643,7.2985896755755e-05,0.00298494461761943
2015-01-12,-0.00480630410280474,-0.00026530327675717,0.00238369022452724
2015-01-13,-0.00249520268234457,-0.00201926936391736,-0.00148720842638213
2015-01-14,-0.0045294438696869,-0.0022678084433016,-0.000449092121051399
2015-01-15,-0.00395732883118522,0.00384767015533555,0.00821901276666586
2015-01-16,0.0110607395221376,0.00798027587200077,0.00490482229623216
2015-01-20,0.00330637171922008,0.00506733197469605,0.00567032706380337
2015-01-21,0.00358688453757973,0.00139527328179426,-0.00031570185312395
2015-01-22,0.0124535245207823,0.0088272781685787,0.00588317550238344
2015-01-23,-0.00453063136027096,-0.00310222074898167,-0.00142356996570542
2015-01-26,0.000646593775130833,-0.00189648612241705,-0.0032072149924707
2015-01-27,-0.00926848033216595,-0.00338522725224596,3.25232554983265e-05
2015-01-28,-0.0102775981731446,-0.00645738880202912,-0.00313183583364967
2015-01-29,0.00488517825157276,-0.00165274483341631,-0.00511104947453841
2015-01-30,-0.00695658936545231,0.00147131616713942,0.0064141479355635
2015-02-02,0.00894817268400662,0.00379371156532309,0.000712043377111386
2015-02-03,0.00960605998631406,0.00232357504487655,-0.00239371068709902
2015-02-04,-0.00244391456038471,-0.000397739412543898,0.00082979801708074
2015-02-05,0.00788339184002332,0.00456593910465071,0.00208526404733244
2015-02-06,-0.00591721769741304,-0.0106449262898132,-0.0130627555994502
2015-02-09,-0.00318022020386341,-0.00123688238437885,-0.000187851015455429
2015-02-10,0.00768501369402884,0.0032320993434329,0.000431940923878273
2015-02-11,-0.000754815851686789,-0.00275716760525111,-0.00351977577900562
2015-02-12,0.00796133044689163,0.00547794010910169,0.0037256137924474
2015-02-13,0.00350362348985427,0.00258482064658671,0.00153220412088772
2015-02-17,-0.00112026710178726,-0.00516040060177998,-0.00737344305340181
2015-02-18,0.000839932072142502,0.00195671383957458,0.00279858346340838
2015-02-19,-0.00116757947516556,-0.00184765145679386,-0.00225532865087686
2015-02-20,0.00417517009652414,0.00143654557731262,-0.000132723855612684
2015-02-23,0.000476069344645791,0.00140330694338292,0.00218621633803302
2015-02-24,0.00278817406431575,0.00270964401793855,0.00306244053274653
2015-02-25,-0.000205197346006214,0.000761453763453601,0.00126140062060671
2015-02-26,-0.00121845371219129,-0.00127394693899035,-0.00176738093785638
2015-02-27,-0.00229306704816146,-0.000623593853094186,0.000627731590068159
2015-03-02,0.00389294488911337,0.000262540184943013,-0.00232331703264799
2015-03-03,-0.00368039980988576,-0.00304498902489622,-0.0026384444620946
2015-03-04,-0.00360896109295403,-0.00269924666223126,-0.00189930615351007
2015-03-05,0.000836265184668143,0.000449182489848462,0.000267093124171648
2015-03-06,-0.0150048763996517,-0.0164151850350165,-0.0165015264827876
2015-03-09,0.00387857752031127,0.00347941907697613,0.00339639119623609
2015-03-10,-0.0130441181800655,-0.00827753128412897,-0.0046419229449655
2015-03-11,-0.00229639510680298,-0.00222791963896413,-0.00179232203918795
2015-03-12,0.0102380687576821,0.00652384765803811,0.00410813510804111
2015-03-13,-0.00491136579510324,-0.00307979623779983,-0.00200597298291809
2015-03-16,0.0109726853551476,0.00739061777091787,0.00520775426728241
2015-03-17,-0.00271376355689588,-0.00232559455612119,-0.00169321383292356
2015-03-18,0.0127251484049126,0.0137803752013131,0.0140778702995907
2015-03-19,-0.00419092289674332,-0.00363503858652569,-0.00346411051323392
2015-03-20,0.00860910676074926,0.00828276815075634,0.00769919161899634
2015-03-23,-0.000795616239877294,0.000933788143021475,0.00183436596123668
2015-03-24,-0.00394586254146167,-0.00143622449768721,0.000266528346215855
2015-03-25,-0.0120155935014081,-0.00805804894460619,-0.00570555585262144
2015-03-26,-0.00181456539624727,-0.000964357367931322,-0.001005995102734
2015-03-27,0.00185794783835069,0.00121039471718765,0.00115551094031916
2015-03-30,0.0086120680170472,0.0032304300020923,0.000207308974592214
2015-03-31,-0.00681139231448071,-0.00391974613966548,-0.00182289794826828
2015-04-01,-0.000646510874847168,0.00368855954154907,0.00596313381926343
2015-04-02,0.00231616954304954,0.000393992193380988,-0.000891606696680713
2015-04-06,0.00673874835515269,0.00674712272405009,0.00620570149542678
2015-04-07,-0.00253125264715827,-0.00235859715171463,-0.0019535322801348
2015-04-08,0.00205841775095026,8.05285137889223e-05,-0.00100845874745982
2015-04-09,0.00244032848167176,-0.00053389124089756,-0.00237297351882957
2015-04-10,0.00547190441350302,0.00549355675030059,0.00492726538569951
2015-04-13,-0.00413062879140863,-0.00354195946380978,-0.00268989372900996
2015-04-14,0.00121812829096038,0.000175495867253765,-6.78620139675679e-05
2015-04-15,0.00450982770943813,0.00454425225266636,0.00416228434331407
2015-04-16,-0.000500937660263201,-0.0008247685305785,-0.000830572756516888
2015-04-17,-0.00850495045434492,-0.00400733107067054,-0.00115557067170061
2015-04-20,0.00636462531705753,0.0022064913389706,-0.000276727866685469
2015-04-21,-0.000589097872109471,0.000314137496160242,0.000522937042824456
2015-04-22,0.00200736331415849,-0.00235241072074601,-0.00487741368855692
2015-04-23,0.00304803646650378,0.00384545314570612,0.00416535324716125
2015-04-24,0.000803092495450796,-0.00147271558246162,-0.00211234198068325
2015-04-27,-0.00146572617650462,0.00257207591496905,0.00417731299423848
2015-04-28,0.00294920323740532,0.00260454991631279,0.00171071673764722
2015-04-29,-0.00436724606143372,-0.00474580367449337,-0.00483095773529397
2015-04-30,-0.00981004081545161,-0.00949503222942073,-0.00841594667860325
2015-05-01,0.00778250666823757,0.00319450227140162,3.43181410413669e-05
2015-05-04,0.00297372091379287,0.003163648014051,0.00273627211058074
2015-05-05,-0.00905000352627006,-0.00544714178190314,-0.00326992664998642
2015-05-06,-0.00383452965243935,-0.00341140429050882,-0.00334750399927139
2015-05-07,0.00279479538231734,0.00100252309518953,0.000431183018172365
2015-05-08,0.0114035943248388,0.00875973994335079,0.00694757596066217
2015-05-11,-0.00518828207987933,-0.00581144673983533,-0.00652582665037232
2015-05-12,-0.00146285201997747,0.000829621992569972,0.00196857839973522
2015-05-13,0.00181056467519098,0.00424035732934551,0.00489882459568426
2015-05-14,0.00922347042546504,0.00741738141074354,0.006113507203066
2015-05-15,0.00188284206018523,0.0030815546130521,0.00408995272213424
2015-05-18,0.00180251767918364,-0.000154219928646061,-0.00179174631108523
2015-05-19,-0.00209354394055169,-0.00474049724195378,-0.00603334572368937
2015-05-20,-0.000181281369997199,0.000602818522077554,0.00115256627157026
2015-05-21,0.00258961330518126,0.00210530915700991,0.00224822794099085
2015-05-22,-0.00221458426959473,-0.00195291123566974,-0.00185234396510109
2015-05-26,-0.00944141997850661,-0.00747629433567161,-0.00512438581919521
2015-05-27,0.00751998549852978,0.00456179025816453,0.00257036805485376
2015-05-28,-0.000694702814249348,-4.45781078459154e-05,0.000378591853185329
2015-05-29,-0.00484396491312314,-0.00279066858007987,-0.00142881989779999
2015-06-01,0.00110033844717177,-0.00030379202777675,-0.00141663887689266
2015-06-02,-0.00108686379449231,-0.00122831863968872,-0.00187253751015724
2015-06-03,0.000550403336684737,-0.00259817853689301,-0.00476540740085984
2015-06-04,-0.00697374069727669,-0.00476478911879722,-0.00269649488664858
2015-06-05,-0.00262498135617162,-0.003992683314465,-0.0049999782746382
2015-06-08,-0.00448192626216557,-0.00198065933064961,-0.000388350620738419
2015-06-09,-0.000218692096370754,-0.000329887074449031,-0.000677622300827351
2015-06-10,0.0100617665656288,0.00716425932282651,0.00461518373660378
2015-06-11,0.00291184103697103,0.00244412601346292,0.00275579547353327
2015-06-12,-0.00620799708866384,-0.00403727387677977,-0.00260557860549009
2015-06-15,-0.00274747406854454,-0.000440782686221162,0.000995802790036604
2015-06-16,0.00438235731939178,0.00277857069069542,0.00208044505745341
2015-06-17,0.00181860127171993,0.00212045354661517,0.00211634145704951
2015-06-18,0.00953445898789613,0.00823757979154722,0.00668943142204951
2015-06-19,-0.00319221948844373,-0.00132209543851866,0.000277559534408226
2015-06-22,0.00197121499500786,-0.00275661671408448,-0.00568652024728855
2015-06-23,-0.000399003890868565,-0.00205911350226442,-0.00298847064443357
2015-06-24,-0.00577914010742714,-0.00355418806981203,-0.00178973205815083
2015-06-25,-0.00281362610250644,-0.0024731724857695,-0.00230355705181058
2015-06-26,-0.00052388226910387,-0.00102369894342491,-0.00164930197403685
2015-06-29,-0.0151606064224641,-0.00644612973902077,-0.000281772402174787
2015-06-30,0.000780184123737191,-0.00118963343270073,-0.00233102858142082
2015-07-01,0.0055425290702438,0.00183337951871784,-0.000727173317959453
2015-07-02,-0.000574074153077686,-6.19938053613155e-05,0.000555005175642831
2015-07-06,-0.00130139359848385,0.00101542034651997,0.0027792124147115
2015-07-07,0.00413628852043725,0.000908021983239062,-0.000531309185056485
2015-07-08,-0.0127263542257561,-0.00665015254636406,-0.00254960265583753
2015-07-09,0.000992370171196531,-0.000231705213244618,-0.00151798858766852
2015-07-10,0.00949762924889195,0.00485595189828178,0.00135674659055991
2015-07-13,0.00811390803233082,0.00372860250698086,0.000895512210009328
2015-07-14,0.00356129426383913,0.0023964028847343,0.00189054587923656
2015-07-15,-0.000407370153784769,-0.000520251588477654,-0.000142600512721579
2015-07-16,0.00601798925942166,0.00300903239281458,0.00116558115591253
2015-07-17,-0.00032329537234593,-0.00208034793830688,-0.00274129529128322
2015-07-20,-0.00250086373197471,-0.00702885073537923,-0.00878991377773936
