"Date","SPY","IEF","GLD"
2015-01-05,-0.0180596826171331,0.00610133064450458,0.0150771493083441
2015-01-06,-0.00941883494792806,0.00671742313323564,0.011398960794794
2015-01-07,0.0124612257995553,-0.000185158117943285,-0.00589141414980154
2015-01-08,0.0177449321401286,-0.00407877868652673,-0.00420851895976693
2015-01-09,-0.00801337363943122,0.00493349449683156,0.0113851963690539
2015-01-12,-0.00783363798683645,0.00351962760584912,0.0110864352607951
2015-01-13,-0.00281249156129604,0.000921673419298941,-0.0033737677523763
2015-01-14,-0.00603720082061043,0.00461117764727392,-0.00160800977925946
2015-01-15,-0.00916066148886574,0.00853610133603477,0.0251759022630389
2015-01-16,0.0131143819555621,-0.00737194163500132,0.0130642812118802
2015-01-20,0.00213239821556943,0.00229248158838935,0.013712049879256
2015-01-21,0.00504795870810337,-0.00475642178846047,0.000241597499430757
2015-01-22,0.0148710220889181,-0.00248251673235567,0.00804958522883426
2015-01-23,-0.00548290510113048,0.00654223402733445,-0.00798530682100018
2015-01-26,0.00234198037349609,-0.00228837533521409,-0.0099815299014463
2015-01-27,-0.0131906490521126,0.00137601242559704,0.0114643766696443
2015-01-28,-0.012824404420555,0.00769709402618779,-0.00787784039319428
2015-01-29,0.00924379364156547,-0.00354617581969197,-0.0215523907971042
2015-01-30,-0.0125751930538468,0.00876010618842149,0.0222755445878298
2015-02-02,0.0123844800964623,-0.00125066472337632,-0.00834344920825592
2015-02-03,0.0144610499472724,-0.00843685756769152,-0.0111909421473471
2015-02-04,-0.00380803132561192,0.00164675914449841,0.00437834585654984
2015-02-05,0.0100950269969384,-0.00365354779166893,0.00172725021639497
2015-02-06,-0.00276541196914626,-0.011184676424182,-0.0258642047967783
2015-02-09,-0.00447577875018645,-0.000463257792567395,0.00446728575542488
2015-02-10,0.0106536232610928,-0.0025049130991337,-0.00587393604932029
2015-02-11,0.000580085317356094,-0.000371490574974542,-0.0118173504807421
2015-02-12,0.00961692400541825,0.000371628631508525,0.00230628379406173
2015-02-13,0.0041161587186993,-0.00334733039406543,0.00545429554301369
2015-02-17,0.00157315523154122,-0.00709015761803466,-0.0166977552521677
2015-02-18,9.54108938544529e-05,0.00479150124075223,0.00284453232983717
2015-02-19,-0.000714198154080026,-0.00252406348948242,-0.00343814602953296
2015-02-20,0.00600091977599848,-0.000563026155882884,-0.00569263108686358
2015-02-23,-0.000142089054512295,0.00459621289619827,0.001301192986358
2015-02-24,0.00284052742856722,0.0066302593979044,-0.00147273818328464
2015-02-25,-0.000849631418979424,0.000927666787685633,0.00381741110408762
2015-02-26,-0.00118145822765858,-0.00593082079365526,0.003197949493011
2015-02-27,-0.00340604917820631,0.00354229460319289,0.000775428340842987
2015-03-02,0.00631321469189361,-0.00744400847011517,-0.0041322601739
2015-03-03,-0.00410400699987878,-0.00215659732182771,-0.00181534477799961
2015-03-04,-0.00421543738010255,0.000751586271366733,-0.00311769816008667
2015-03-05,0.00109432031454793,0.000563702307178726,-0.000955612976880738
2015-03-06,-0.0140646706427419,-0.010227056335904,-0.0273043425186782
2015-03-09,0.00414468314920136,0.00464493248625142,0.000983377523250395
2015-03-10,-0.0162218427773565,0.00424561762782316,-0.00491205720962606
2015-03-11,-0.00234204541869554,0.00178567901960336,-0.00601326673806879
2015-03-12,0.0127142161574447,0.000937827656287915,-0.000270869339024871
2015-03-13,-0.00613241216663885,-0.00149941147549948,0.00144505085757785
2015-03-16,0.0133607304113008,0.00347232065571212,-0.000631310394642259
2015-03-17,-0.00297254289074567,0.00205736767198172,-0.00541466011497516
2015-03-18,0.012021663873979,0.0114791922020869,0.0195989808552073
2015-03-19,-0.0045615124368884,-0.00470517940469606,-0.000711950067629918
2015-03-20,0.00882666583407787,0.00407869588312093,0.0113990450517487
2015-03-23,-0.00194855249514314,0.00129254441067972,0.00633971315169246
2015-03-24,-0.00561895457064465,0.00304311372247112,0.00244989742806934
2015-03-25,-0.0146539565392761,-0.00432084080876849,0.00139655810889594
2015-03-26,-0.0023813707484579,-0.00563177485753785,0.00653708688272836
2015-03-27,0.00228964991912606,0.00389932255431802,-0.00363704352381955
2015-03-30,0.0121998266936838,-9.25901981340127e-05,-0.0113853431808644
2015-03-31,-0.00873915643102419,0.00259050490023038,-0.000791176596843912
2015-04-01,-0.00353655781911133,0.00475895023671136,0.0170684035677076
2015-04-02,0.00359762110949524,-0.00285110995889326,-0.00276816348657327
2015-04-06,0.00673316544255442,0.00129103859333002,0.0122311214177615
2015-04-07,-0.00264635631078736,0.000828774086865547,-0.00497045007214936
2015-04-08,0.00337701057572448,-0.000919897912891821,-0.00551200918340145
2015-04-09,0.00442314163005131,-0.00405361540737104,-0.00692823281632182
2015-04-10,0.00545746952230464,-0.000277618579698102,0.0113369065362912
2015-04-13,-0.00452307500980786,0.00203535124619414,-0.00715703908181753
2015-04-14,0.00191321657343146,0.00295507917357352,-0.00607952885142138
2015-04-15,0.00448687801395264,0.000552450443002339,0.00865080253975781
2015-04-16,-0.000285050413386334,0.000736343561614117,-0.00346531685715545
2015-04-17,-0.0115033633767945,0.00202217600065691,0.00495522647024993
2015-04-20,0.00913671463578214,-0.00183503082715553,-0.00761243308852633
2015-04-21,-0.00119125478428928,-0.00211404387854619,0.00575310343176572
2015-04-22,0.00491387933742815,-0.00580357022433264,-0.0134338313335077
2015-04-23,0.00251642534703556,0.00305737076424584,0.0072915911245075
2015-04-24,0.00232029788072574,0.00351006082488414,-0.0140415189161821
2015-04-27,-0.00415759423748707,-0.00156456374970504,0.0201680558845554
2015-04-28,0.00317897211813367,-0.00461051526488021,0.00867077069386402
2015-04-29,-0.00411487431939395,-0.00370455621720112,-0.00704890984198447
2015-04-30,-0.0100200465394722,-0.00027921965140032,-0.0176608161873382
2015-05-01,0.0108411762661282,-0.00546731704802117,-0.00343702639862875
2015-05-04,0.00284710284695411,-0.0020597465219423,0.00902013288423809
2015-05-05,-0.011451911355848,-0.0016892991845705,0.00280455476865393
2015-05-06,-0.0041166132270597,-0.00488802818778711,-0.000524362520128774
2015-05-07,0.00398964357373588,0.00425048376065695,-0.0082196785273706
2015-05-08,0.0131661639124974,0.00385737202390435,0.00484925992450402
2015-05-11,-0.00477283897324199,-0.00983942254542514,-0.00386068646743221
