"Date","SPY","IEF","GLD"
2015-01-02,170.124969482422,82.8684158325195,114.080001831055
2015-01-05,167.05256652832,83.3740234375,115.800003051758
2015-01-06,165.479125976562,83.93408203125,117.120002746582
2015-01-07,167.541198730469,83.9185409545898,116.430000305176
2015-01-08,170.514205932617,83.5762557983398,115.940002441406
2015-01-09,169.147811889648,83.9885787963867,117.26000213623
2015-01-12,167.822769165039,84.2841873168945,118.559997558594
2015-01-13,167.350769042969,84.3618698120117,118.160003662109
2015-01-14,166.340438842773,84.7508773803711,117.970001220703
2015-01-15,164.816650390625,85.4743194580078,120.940002441406
2015-01-16,166.978118896484,84.8442077636719,122.519996643066
2015-01-20,167.334182739258,85.0387115478516,124.199996948242
2015-01-21,168.17887878418,84.6342315673828,124.230003356934
2015-01-22,170.679870605469,84.4241256713867,125.230003356934
2015-01-23,169.744049072266,84.976448059082,124.230003356934
2015-01-26,170.141586303711,84.7819900512695,122.98999786377
2015-01-27,167.897308349609,84.8986511230469,124.400001525879
2015-01-28,165.744125366211,85.5521240234375,123.419998168945
2015-01-29,167.276229858398,85.2487411499023,120.76000213623
2015-01-30,165.172698974609,85.9955291748047,123.449996948242
2015-02-02,167.218276977539,85.8879776000977,122.419998168945
2015-02-03,169.636428833008,85.1633529663086,121.050003051758
2015-02-04,168.990447998047,85.303596496582,121.580001831055
2015-02-05,170.696411132812,84.9919357299805,121.790000915527
2015-02-06,170.224365234375,84.0413284301758,118.639999389648
2015-02-09,169.462478637695,84.0023956298828,119.169998168945
2015-02-10,171.267868041992,83.7919769287109,118.470001220703
2015-02-11,171.367218017578,83.7608489990234,117.069999694824
2015-02-12,173.015243530273,83.7919769287109,117.339996337891
2015-02-13,173.727401733398,83.5114974975586,117.980003356934
2015-02-17,174.000701904297,82.9193878173828,116.01000213623
2015-02-18,174.017303466797,83.3166961669922,116.339996337891
2015-02-19,173.893020629883,83.1063995361328,115.940002441406
2015-02-20,174.936538696289,83.0596084594727,115.279998779297
2015-02-23,174.911682128906,83.4413681030273,115.430000305176
2015-02-24,175.40852355957,83.9946060180664,115.26000213623
2015-02-25,175.259490966797,84.0725250244141,115.699996948242
2015-02-26,175.052429199219,83.5739059448242,116.069999694824
2015-02-27,174.456192016602,83.8699493408203,116.160003662109
2015-03-02,175.557571411133,83.2456207275391,115.680000305176
2015-03-03,174.83708190918,83.0660934448242,115.470001220703
2015-03-04,174.100067138672,83.1285247802734,115.110000610352
2015-03-05,174.290588378906,83.1753845214844,115
2015-03-06,171.839248657227,82.3247451782227,111.860000610352
2015-03-09,172.551467895508,82.7071380615234,111.970001220703
2015-03-10,169.752365112305,83.0582809448242,111.419998168945
2015-03-11,169.354797363281,83.2065963745117,110.75
2015-03-12,171.508010864258,83.2846298217773,110.720001220703
2015-03-13,170.456253051758,83.1597518920898,110.879997253418
2015-03-16,172.733673095703,83.4485092163086,110.809997558594
2015-03-17,172.22021484375,83.6201934814453,110.209999084473
2015-03-18,174.290588378906,84.5800857543945,112.370002746582
2015-03-19,173.495559692383,84.1821212768555,112.290000915527
